,result
28,"5星 深林的记忆 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 元素精通--23; 防御力--16; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【99.6%】, 稀有度为3.9.
---------build列表---------
对BUILD:[草主--通用--草套--<充精精>]的适配度为【99.6%】,该部位完美毕业难度为: 4.1
对BUILD:[万叶--风套--<精精精>]的适配度为【74.0%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【74.0%】,该部位完美毕业难度为: 4.1
对BUILD:[温迪--风套--<精精精>]的适配度为【74.0%】,该部位完美毕业难度为: 4.1"
137,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【攻击力%】
副属性为: 防御力--19; 生命值%--4.1%; 暴击率--3.1%; 元素充能效率--5.8%; 
该圣遗物最佳评分为:【92.7%】, 稀有度为7.6.
---------build列表---------
对BUILD:[申鹤--攻击2、攻击2--<攻攻攻>]的适配度为【92.7%】,该部位完美毕业难度为: 6.0"
109,"5星 流浪大地的乐团 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 元素精通--16; 元素充能效率--5.8%; 生命值--299; 
该圣遗物最佳评分为:【91.3%】, 稀有度为5.5.
---------build列表---------
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【91.3%】,该部位完美毕业难度为: 5.6
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【83.9%】,该部位完美毕业难度为: 5.5"
162,"5星 被怜爱的少女 死之羽; 等级:0
主属性为:【攻击力】
副属性为: 元素充能效率--6.5%; 防御力%--5.8%; 生命值--209; 生命值%--4.7%; 
该圣遗物最佳评分为:【90.5%】, 稀有度为5.6.
---------build列表---------
对BUILD:[芭芭拉--少女、海染--<充生治>]的适配度为【90.5%】,该部位完美毕业难度为: 4.1
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【90.5%】,该部位完美毕业难度为: 4.1
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【65.0%】,该部位完美毕业难度为: 4.1"
81,"5星 追忆之注连 理之冠; 等级:0
主属性为:【暴击伤害】
副属性为: 攻击力%--4.7%; 元素精通--23; 元素充能效率--6.5%; 生命值--209; 
该圣遗物最佳评分为:【89.2%】, 稀有度为8.0.
---------build列表---------
对BUILD:[温迪--辅助--风套--<充风双暴>]的适配度为【89.2%】,该部位完美毕业难度为: 5.7
对BUILD:[皇女--如雷、攻击2--<攻雷双暴>]的适配度为【74.9%】,该部位完美毕业难度为: 6.2
对BUILD:[甘雨--通用--乐团、追忆--<攻冰双暴>]的适配度为【74.9%】,该部位完美毕业难度为: 6.2
对BUILD:[香菱--通用--绝缘--<充火双暴>]的适配度为【71.3%】,该部位完美毕业难度为: 6.7
对BUILD:[科莱--草套--<攻草双暴>]的适配度为【71.3%】,该部位完美毕业难度为: 6.7
对BUILD:[莫娜--通用--绝缘--<攻水双暴>]的适配度为【71.3%】,该部位完美毕业难度为: 6.7
对BUILD:[九条--绝缘--<充雷双暴>]的适配度为【66.9%】,该部位完美毕业难度为: 6.2
对BUILD:[雷神--绝缘--<充雷双暴>]的适配度为【66.9%】,该部位完美毕业难度为: 6.2
对BUILD:[绫华--永冻--冰风--<攻冰双暴>]的适配度为【66.9%】,该部位完美毕业难度为: 6.2
对BUILD:[莫娜--大招--宗室--<充水双暴>]的适配度为【66.9%】,该部位完美毕业难度为: 6.2"
72,"5星 追忆之注连 时之沙; 等级:0
主属性为:【防御力%】
副属性为: 生命值--269; 攻击力--16; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为4.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.3"
150,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 生命值--299; 元素充能效率--6.5%; 暴击伤害--7.8%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为5.9.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.6"
36,"5星 深林的记忆 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 防御力--21; 暴击伤害--5.4%; 防御力%--5.8%; 元素充能效率--6.5%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为7.5.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.7%】,该部位完美毕业难度为: 5.6"
26,"5星 饰金之梦 理之冠; 等级:0
主属性为:【生命值%】
副属性为: 元素充能效率--6.5%; 暴击伤害--7.8%; 防御力%--7.3%; 
该圣遗物最佳评分为:【86.7%】, 稀有度为6.2.
---------build列表---------
对BUILD:[钟离--盾辅--千岩、宗室--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[迪奥娜--祭礼--少女、千岩--<生生生>]的适配度为【86.7%】,该部位完美毕业难度为: 5.5
对BUILD:[妮露--通用--千岩、乐团--<生生生>]的适配度为【68.7%】,该部位完美毕业难度为: 5.6"
144,"5星 角斗士的终幕礼 空之杯; 等级:0
主属性为:【防御力%】
副属性为: 元素充能效率--6.5%; 生命值--239; 防御力--19; 攻击力--19; 
该圣遗物最佳评分为:【86.7%】, 稀有度为6.4.
---------build列表---------
对BUILD:[云堇--华馆--<防防防>]的适配度为【86.7%】,该部位完美毕业难度为: 5.6"
